"refactoringname","count"
"Add Attribute Annotation","66670"
"Add Attribute Modifier","99448"
"Add Class Annotation","41270"
"Add Class Modifier","18380"
"Add Method Annotation","224442"
"Add Method Modifier","48548"
"Add Parameter","278790"
"Add Parameter Annotation","108978"
"Add Parameter Modifier","82044"
"Add Thrown Exception Type","38672"
"Add Variable Annotation","3518"
"Add Variable Modifier","81490"
"Change Attribute Access Modifier","186564"
"Change Attribute Type","187252"
"Change Class Access Modifier","29452"
"Change Method Access Modifier","192064"
"Change Parameter Type","284944"
"Change Return Type","215288"
"Change Thrown Exception Type","15992"
"Change Type Declaration Kind","3854"
"Change Variable Type","324464"
"Collapse Hierarchy","688"
"Convert Anonymous Class to Type","7556"
"Encapsulate Attribute","43740"
"Extract And Move Method","61452"
"Extract Attribute","17182"
"Extract Class","20296"
"Extract Interface","4894"
"Extract Method","180060"
"Extract Subclass","2274"
"Extract Superclass","11714"
"Extract Variable","134720"
"Inline Attribute","1132"
"Inline Method","31542"
"Inline Variable","43292"
"Invert Condition","4146"
"Localize Parameter","11746"
"Merge Attribute","4726"
"Merge Catch","1738"
"Merge Class","1200"
"Merge Conditional","5486"
"Merge Method","482"
"Merge Package","1210"
"Merge Parameter","4652"
"Merge Variable","1850"
"Modify Attribute Annotation","20560"
"Modify Class Annotation","22096"
"Modify Method Annotation","26064"
"Modify Parameter Annotation","2130"
"Modify Variable Annotation","44"
"Move And Inline Method","16278"
"Move And Rename Attribute","36636"
"Move And Rename Class","21368"
"Move And Rename Method","32118"
"Move Attribute","114974"
"Move Class","253304"
"Move Method","146712"
"Move Package","4866"
"Move Source Folder","3140"
"Parameterize Attribute","8272"
"Parameterize Variable","21662"
"Pull Up Attribute","33722"
"Pull Up Method","56998"
"Push Down Attribute","9002"
"Push Down Method","21476"
"Remove Attribute Annotation","44226"
"Remove Attribute Modifier","58154"
"Remove Class Annotation","18902"
"Remove Class Modifier","12088"
"Remove Method Annotation","93446"
"Remove Method Modifier","36228"
"Remove Parameter","148116"
"Remove Parameter Annotation","30844"
"Remove Parameter Modifier","21772"
"Remove Thrown Exception Type","38658"
"Remove Variable Annotation","2010"
"Remove Variable Modifier","25312"
"Rename Attribute","173770"
"Rename Class","52228"
"Rename Method","227898"
"Rename Package","5726"
"Rename Parameter","190192"
"Rename Variable","187770"
"Reorder Parameter","4458"
"Replace Anonymous With Lambda","46988"
"Replace Attribute","704"
"Replace Attribute With Variable","26848"
"Replace Loop With Pipeline","734"
"Replace Pipeline With Loop","368"
"Replace Variable With Attribute","43864"
"Split Attribute","1770"
"Split Class","682"
"Split Conditional","11640"
"Split Method","1522"
"Split Package","1436"
"Split Parameter","2166"
"Split Variable","270"
