"buckets","count"
300,"1273"
600,"772"
900,"511"
1200,"394"
1500,"281"
1800,"232"
2100,"166"
2400,"157"
2700,"113"
3000,"80"
3300,"73"
3600,"46"
3900,"52"
4200,"47"
4500,"34"
4800,"25"
5100,"26"
5400,"15"
5700,"14"
6000,"12"
6300,"13"
6600,"10"
6900,"10"
7200,"5"
7500,"6"
7800,"6"
8100,"8"
8400,"7"
8700,"5"
9000,"3"
9300,"2"
9600,"2"
9900,"1"
10200,"1"
10500,"1"
10800,"1"
11100,"3"
11400,"2"
12000,"3"
12300,"2"
12600,"2"
12900,"1"
13500,"1"
13800,"1"
14700,"1"
15000,"2"
15600,"1"
15900,"2"
16200,"1"
16500,"1"
16800,"1"
17700,"1"
18000,"3"
18300,"1"
23400,"1"
23700,"1"
30900,"1"
33000,"1"
