"refactoringname","count"
"Add Attribute Annotation","89426"
"Add Attribute Modifier","89394"
"Add Class Annotation","121178"
"Add Class Modifier","18192"
"Add Method Annotation","296428"
"Add Method Modifier","39740"
"Add Parameter","247298"
"Add Parameter Annotation","50604"
"Add Parameter Modifier","151452"
"Add Thrown Exception Type","71412"
"Add Variable Annotation","3322"
"Add Variable Modifier","111376"
"Change Attribute Access Modifier","95078"
"Change Attribute Type","172756"
"Change Class Access Modifier","32096"
"Change Method Access Modifier","178422"
"Change Parameter Type","317420"
"Change Return Type","326546"
"Change Thrown Exception Type","30708"
"Change Type Declaration Kind","5640"
"Change Variable Type","435002"
"Collapse Hierarchy","1274"
"Convert Anonymous Class to Type","11702"
"Encapsulate Attribute","42242"
"Extract And Move Method","36876"
"Extract Attribute","16282"
"Extract Class","18746"
"Extract Interface","5582"
"Extract Method","120324"
"Extract Subclass","2674"
"Extract Superclass","10478"
"Extract Variable","97392"
"Inline Attribute","814"
"Inline Method","20876"
"Inline Variable","34856"
"Invert Condition","2758"
"Localize Parameter","12608"
"Merge Attribute","3274"
"Merge Catch","1682"
"Merge Class","1454"
"Merge Conditional","3184"
"Merge Method","290"
"Merge Package","1902"
"Merge Parameter","6496"
"Merge Variable","2210"
"Modify Attribute Annotation","45064"
"Modify Class Annotation","75322"
"Modify Method Annotation","96182"
"Modify Parameter Annotation","11590"
"Modify Variable Annotation","216"
"Move And Inline Method","10726"
"Move And Rename Attribute","5640"
"Move And Rename Class","29928"
"Move And Rename Method","31234"
"Move Attribute","74530"
"Move Class","347700"
"Move Method","127012"
"Move Package","8602"
"Move Source Folder","4136"
"Parameterize Attribute","3806"
"Parameterize Variable","19826"
"Pull Up Attribute","36780"
"Pull Up Method","55506"
"Push Down Attribute","8994"
"Push Down Method","24040"
"Remove Attribute Annotation","61826"
"Remove Attribute Modifier","60632"
"Remove Class Annotation","75766"
"Remove Class Modifier","11088"
"Remove Method Annotation","144256"
"Remove Method Modifier","27844"
"Remove Parameter","121852"
"Remove Parameter Annotation","36740"
"Remove Parameter Modifier","30994"
"Remove Thrown Exception Type","82058"
"Remove Variable Annotation","2352"
"Remove Variable Modifier","22568"
"Rename Attribute","107964"
"Rename Class","67514"
"Rename Method","244942"
"Rename Package","7972"
"Rename Parameter","174678"
"Rename Variable","181926"
"Reorder Parameter","5084"
"Replace Anonymous With Lambda","13704"
"Replace Attribute","440"
"Replace Attribute With Variable","13710"
"Replace Loop With Pipeline","2580"
"Replace Pipeline With Loop","786"
"Replace Variable With Attribute","23154"
"Split Attribute","2014"
"Split Class","1158"
"Split Conditional","4200"
"Split Method","1196"
"Split Package","2304"
"Split Parameter","2694"
"Split Variable","326"
